"Частота, Гц","Дистанция, мм",Количество точек,"Центр мишени (X), мм","Центр мишени (Y), мм"
55,500,11,501.97694149403503,-25.72772657702138
55,500,11,503.0917061604548,-24.612961910601616
55,500,12,504.6012576420341,-26.462808725443903
55,500,12,504.8420684877343,-26.22199787974371
55,500,12,503.88481654256816,-27.179249824909842
55,500,12,504.70366856647365,-26.360397801004375
55,500,11,502.2459089104292,-26.319368558032753
55,500,11,503.39028942990944,-25.174988038552517
55,500,12,504.4163171089255,-25.217275249405876
55,500,12,505.1002748376503,-24.533317520681067
55,500,12,503.20889725503645,-26.42469510329493
55,500,12,505.7070971308492,-23.926495227482164
55,500,11,502.40145861162654,-29.445518594661625
55,500,11,502.4144426254161,-29.43253458087207
55,500,11,501.80132824982223,-30.045648956465914
55,500,11,502.8689645906877,-28.978012615600438
55,500,12,504.5172061271167,-28.563533612844015
55,500,12,505.7981446228127,-27.282595117148027
55,500,12,504.0509926687127,-29.02974707124801
55,500,12,504.6427996762697,-28.43794006369104
55,500,12,504.1124136371603,-26.540138024947975
55,500,12,504.89897257710277,-25.753579085005498
55,500,12,503.6830946725667,-26.969456989541523
55,500,12,504.6056098994725,-26.04694176263579
55,500,12,504.13191684456143,-26.59027262532111
55,500,12,504.2866555309976,-26.435533938884944
55,500,11,502.23288066266525,-25.985679767853288
55,500,11,502.54816828162626,-25.670392148892276
55,500,11,501.88588078302666,-26.33267964749187
55,500,11,502.2721514652628,-25.946408965255696
55,500,12,504.4907180171092,-25.42079209874382
55,500,12,504.68702319848256,-25.22448691737044
55,500,12,503.9273962647025,-25.984113851150497
55,500,12,505.1807590075215,-24.73075110833151
55,500,12,504.62240598765703,-29.475455729460677
55,500,12,505.0120048582198,-29.085856858897877
55,500,12,504.1667762880096,-29.931085429108105
55,500,12,504.70640721748634,-29.391454499631394
55,500,11,502.3654511571605,-26.47835199318307
55,500,11,503.2288305435741,-25.614972606769516
55,500,11,501.02863414655127,-27.815169003792303
55,500,11,502.4461322702763,-26.397670880067295
55,500,11,502.52956038524826,-25.207582212484734
55,500,11,502.8529470854595,-24.88419551227346
55,500,11,501.41810436454915,-26.31903823318384
55,500,11,503.8783605598049,-23.85878203792809
55,500,11,501.8974075085253,-27.200373009560703
55,500,11,502.2523548376809,-26.84542568040511
55,500,11,501.9086158633009,-26.47540835069842
55,500,11,502.18408460676034,-26.199939607238974
55,500,11,500.978715645321,-27.405308568678272
55,500,11,502.44733385531237,-25.936690358686963
55,500,11,502.1202409820018,-28.87149339762457
55,500,11,503.7380944430177,-27.253639936608664
55,500,11,501.29099228045607,-29.700742099170327
55,500,11,502.6924743536877,-28.299260025938654
55,500,11,502.2558457825571,-28.85176756378341
55,500,11,503.6934233116607,-27.414190034679848
55,500,11,501.62494644047945,-29.48266690586108
55,500,11,502.62690221895855,-28.480711127381984
55,500,12,504.6412609733415,-28.054668640787952
55,500,12,505.4071816373797,-27.288747976749733
55,500,12,504.0691591698114,-28.62677044431801
55,500,12,505.2767644641207,-27.41916515000878
55,500,12,504.6580370712763,-28.648509067407897
55,500,12,504.7271186401265,-28.579427498557706
55,500,11,501.86305158497066,-27.753979977327432
55,500,11,501.97241061158235,-27.644620950715744
55,500,11,501.17631292035514,-28.44071864194293
55,500,11,502.3829444795186,-27.23408708277948
55,500,12,504.43467113822607,-26.533961247395855
55,500,12,504.7924401094604,-26.17619227616152
55,500,12,503.95665951340624,-27.01197287221568
55,500,12,506.04989581936405,-24.918736566257863
55,500,11,502.151647674446,-26.53206556522702
55,500,11,503.20999800408225,-25.473715235590785
55,500,11,500.5853638702943,-28.098349369378692
55,500,11,503.3711570719313,-25.31255616774174
55,500,12,504.55963863025687,-27.073773948602327
55,500,12,505.6284611223259,-26.00495145653326
55,500,12,504.55494245664744,-27.078470122211787
55,500,12,505.52156684101465,-26.111845737844554
55,500,12,504.51795536225404,-28.351234301055328
55,500,12,505.03353177047165,-27.835657892837695
55,500,12,504.4293718590332,-28.43981780427614
55,500,12,505.81973866141374,-27.049451001895612
55,500,12,504.56375711204987,-28.54303527872597
55,500,12,505.483639426346,-27.623152964429885
55,500,12,504.13880288359104,-27.347597229126688
55,500,12,505.62896623660646,-25.857433876111262
55,500,12,502.82995203820485,-28.656448074512888
